stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
1066,07201-1,Tuisu,59.40137277,24.7112379,1066,,Kristiine,,6585041.22,540401.69,Harju1,Tallinna TA
1067,07202-1,Tüve,59.40574402,24.71013066,1067,,Kristiine,,6585527.50,540333.64,Harju1,Tallinna TA
1068,07203-1,Marsi,59.40529855,24.71786243,1068,,Kristiine,,6585482.55,540773.30,Harju1,Tallinna TA
1069,07204-1,Marsi,59.4049352,24.71650631,1069,,Kristiine,,6585441.25,540696.71,Harju1,Tallinna TA
1070,07205-1,Nõmme tee,59.41096775,24.71607432,1070,,Kristiine,,6586113.00,540665.00,Harju1,Tallinna TA
1073,07208-1,Västriku,59.40780927,24.72360082,1073,,Kristiine,,6585765.74,541096.20,Harju1,Tallinna TA
1074,07209-1,Sõjakooli,59.4023402,24.71852427,1074,,Kristiine,,6585153.40,540814.42,Harju1,Tallinna TA
1076,07301-1,Tallinn-Väike,59.41495948,24.73996036,1076,,Kesklinn,,6586572.39,542016.50,Harju1,Tallinna TA
14571,22062-1,Kiili kool,59.30269651,24.84285627,14571,,Kiili vald,,6574136.00,548016.00,Harju2,Harjumaa ÜTK
1082,07404-1,Hallivanamehe,59.4060875,24.73294362,1082,,Kesklinn,,6585579.70,541628.89,Harju1,Tallinna TA
1086,07407-1,Tallinn-Väike,59.41443768,24.73945964,1086,,Kesklinn,,6586513.95,541988.71,Harju1,Tallinna TA
161854,7801455-1,Tigasenuka,58.34990934,26.98316114,161854,,Kastre vald,,6471590.35,674612.06,,Tartu MV
1089,07501-1,Tallinn-Väike,59.41337415,24.74837603,1089,,Kesklinn,,6586401.09,542496.31,Harju1,Tallinna TA
1090,07502-1,Auru,59.41276545,24.75255813,1090,,Kesklinn,,6586335.94,542734.54,Harju1,Tallinna TA
1092,07601-1,Tedre,59.41935967,24.7123655,1092,,Kristiine,,6587045.60,540444.46,Harju1,Tallinna TA
1093,07602-1,Koolimaja,59.41745299,24.72066082,1093,,Kristiine,,6586838.23,540917.69,Harju1,Tallinna TA
1094,07701-1,Tüve,59.40520655,24.70920359,1094,,Kristiine,,6585467.07,540281.62,Harju1,Tallinna TA
1096,07703-1,Vilja,59.41255748,24.70869303,1096,,Kristiine,,6586285.64,540243.97,Harju1,Tallinna TA
1097,07704-1,Linnu tee,59.41335994,24.70823874,1097,,Kristiine,,6586374.76,540217.23,Harju1,Tallinna TA
26066,8600372-1,Lüütsepa tee,57.59265863,26.78026643,26066,,Rõuge vald,"Alska suunas",6386811.06,666238.01,,Võru MV
1100,07707-1,Nõmme tee,59.41031398,24.71425531,1100,,Kristiine,,6586039.07,540562.48,Harju1,Tallinna TA
1101,07708-1,Räägu,59.41433287,24.71787654,1101,,Kristiine,,6586488.96,540763.33,Harju1,Tallinna TA
1102,07801-1,Tedre,59.41976682,24.71320045,1102,,Kristiine,,6587091.46,540491.38,Harju1,Tallinna TA
1103,07802-1,Tihase,59.42275453,24.71532543,1103,,Kristiine,,6587425.57,540608.47,Harju1,Tallinna TA
161674,"",Viki 2 (tellimisel),58.35381029,22.07197682,161674,,Kihelkonna vald,,6469763.50,387138.68,,Saare MV
125530,7820139-2,Lõunakeskus,58.35889909,26.67292438,125530,,Tartu linn,"Lõpp-peatus",6471825.19,656423.39,TartuLinn,Tartu LV
